date,title,content,秒,タグ
2024年7月26日,テンション上げすぎたという結論,"面白ったけど他に選択肢あったせつ。
ギリギリアウト
たまにはいいのかな、ゴールがわからん。楽しかったのは事実でいいと思う",,
2024年7月26日,乗り換えるタイミング検討必要！,"データ登録まで問題ない
参照についても権限有効になってる
優先度高い場所は、dbの時間表示、9時間ずれる
表現の問題のみ、跡は問題ない認識、
ゲストでの登録についても動き確認必要",,
2024年7月26日,過去のソースコード、コメントで残すべき,"本能的にコメントアウトで残すことが多い
まえなにやってたかな、どういう手順だったけ？と思い起こしながら書く
いいのか悪いのか微妙、自分の記憶力の問題もある
適切にコミット使えてないから説も。コミット時にコメントの量とか採点してくれるのあればいいのに",,
2024年7月26日,qpsつくるならの下書き、予定,"６週間ぐらいでできそうなイメージあり。
期待通りJSなど動く前提
表などの列は別途、外だしするとなると…結構UI難しくなる
マスタメンテ的な形になるので、練習としてはいいと思います。
",,
2024年7月26日,あつすぎる,"これはヤバイ
開始屋は冷房全開だけど外はでれん、出た瞬間汗あふれる
体質の問題か、地域の問題か、地球の問題か…
じっと働く予定！",,
2024年7月26日,今日のタスク,"にしばさんの件、レスポンス調査、予約分
不要なjquery省く、datatableの件
障害報告一覧作成、七割済み",,
2024年7月26日,創造力　2024/07/26　朝,"3時間弱でしたが有効活用できた
定期的に気分転換入れたのが良かったのかな、それでやるべきものを整理し方向性も含めて整理
つまらないためにも複数の角度から攻めることは大事、漏れがあつた時怖いけど",,
2024年7月26日,Context、サーバーコンポーネントではクリア,"コンポーネントの場所しっかり把握
前後関係整理したらだいたい解決策は見つかる
自力で出来たとは思えないので助かった温床あり",,
2024年7月26日,コンテキスト、useserver使えるんかな、,"むりなきがしてます。ファイル分けてるからできるかなと期待してたけど、ひとまず避ける
必要なら調べる。、そもそも、サーバーコンポーネントから、クライアントコンポーネントよんで、クリエイトコンテキストできなくても納得
ここらへん周りは癖強いので避ける方が良い印象あり
調べるなら、サーバーコンポーネントからクリエイトコンテキストを呼ぶには？的な感じかな",,
2024年7月26日,データベースにローカルタイムは情報として持たない,"考えてみたら妥当な仕様。
底がしっくりこなくて、二三日悩んでた。
もともとの目的など考えれば当たり前説
大局で見れば詰まっきすらしなかった問題かと。",,
