date,title,content,秒,タグ
2024年7月20日,早飯,"昼から集中するための早めし
ゲットする必要あったサイゼへ！
楽しみ感はある、時間かけずに悩まず行けるサイゼはありがたい",,
2024年7月20日,コーディング調子良し悪し,"これからが次の一歩だと思う。
テープル追加、県多言での参照周り、インポートについても調整、うわがき、全削除機能、物理削除機能も検討
てことはコンポーネント分けるか…",,
2024年7月20日,クラウドストライクBsod,"現象、再起動が連続する、ブルースクリーン挟んで
対策　セーフモードで立ち上げて関連するドライバーをリネーム
落とし所どうなるのか、責任問題になった場合とか、OS系レベルでの見直し必要。msは悪くない
クラウドストライクから、再発防止案はどう提示されるか楽しみ
被害範囲、windows入ってるpc全般、ウイルスだろコレが印象
",,
2024年7月20日,今日のライブ閲覧,"やめになった！
どんなんか聴いてよかったと思う、異次元いかずに済んだ認識
時間は貴重だからいかない選択は有効
エグザイル系とは…",,
2024年7月19日,満足度100の飲み,"十分感ある。やっぱ誰と飲めるかが大事説
自分が知らない知識もしれた感あり。
明日は昼から空いた印象、まあ、下からのリスク考慮に入れて引きこもり想定
二連休なので日曜日のラインを期待",,
2024年7月19日,todoリストのあるべき像,"いつでもどこでも見える。
詳細な内容も確認できる
タスク通しの結びつけができる
グループができる。
現在の状況、進捗が確認できる
他にもありそう…",,
2024年7月19日,全体障害BSOD,"なんか起きているぽい。
回避するすべはないイメージあり。最悪PCが使えなくてもシステムとしては使える状態にしておかないと・・・
仕組みと待った時に全体への影響が強すぎる
そういうのはWindows以外のOS、TRONなどがいいのではないか・・",,
2024年7月19日,昼からは,"定期タスク、2.3時間を想定
できれば土日の残務にはしたくない
2時間あればある程度できる認識",,
2024年7月19日,変な夢みた,"比較的小規模の弊社のユーザーがなにかにかかる夢
名前は憶えていないし、現行そのような情報はなし
機能性だったら助かる、たまたま別件できにしてたからかなと・・",,
2024年7月19日,気鋭の,"褒め言葉か、落とし言葉が不明、、、
発行元からみたゲストのケースが多い。「かけ」的な選択の時に使う印象あり、本当に伝えたいことでないケースが多い印象です。
飛び抜けた説が多いので聞くのは有効だが信じ切るのはng",,
2024年7月19日,1時間で成果を上げる方法,"ゴールを決めて集中する
1時間は進めること、それの成果元に次の一時間も決める
助走に5分、振り返りに5分は有用
他の方法は考えること",,
2024年7月19日,メールでの個人認証周り,"結構頭使う印象あり
多分supabaseのポリシー変わったせいで検証か難しい状態になってる
aws使えばコスト下げれるのかな、、そこいらが良うわからんです",,
2024年7月19日,頭回転の良し悪し,"昨日の夜、期待通りでないなと思ってた、実装パターン
朝起きてコーディングしたらこれだけでいいのかと、、、
やっぱ寝て頭空っぽにするのは大事、気分転換ともいう。寝る以外あるのかな
違うことしてみるが有用なときもある…",,
2024年7月18日,落としどころ,"目的に目指して進むこと優先。
目的は、スマホで利用できるような状態にすること
最低限の機能追加後に、実際に使い始めて、どうなるかを検討したほうがいい
それで、よりよくなる。システムとはそんなものだ・・",,
