date,title,content
2024年7月18日,今日の予定、その2,"そこまで意欲上がん日かも
もうちと考えてみるけど必要に応じてすぐ寝るのもあり
なんだかんだで疲れてる説有効。打ち合わせ多すぎ"
2024年7月18日,帰ってやること,"ニックネーム対応。UIのみ想定
ボストのフラグアップデート、削除ボタンも付与
一喝取り込みもあんのみやつてみる予定、更新まで"
2024年7月18日,仕事進捗,"あんまり降ってくるのはなかった。打ち合わせ中心。
コーディングに時間使える。
神ナガノケンヤるかな
そこまで慌てるタスクもないという認識なので調整します"
2024年7月18日,aws,"覚えなあかんこと大杉
ついていけなくなるなあ
使うのが一番だけと金かかるゾーンだから躊躇する
verxelsupabaseで十分説あり"
2024年7月18日,いわなくていいことをいう,"デメリット、メリット考慮に入れて判断すべき。一時の感情では判断しない。
明らかに、一時の感情優先で判断して、は告げしているケースが目立つ。石丸さん
頭いいからわかってると思うのにもったいないことしている印象有。
戦力的には有効だけど言わんでいいこといいっている感じはする"
2024年7月18日,タイプスクリプトエラー,"コロン、セミコロンの違いで期待通りでない現象あり。正確にはカッコの種類の違い
見えるものとしてセミコロンの有無には気づいた現象、結果的にはUi部分、データ基本でテストして気づいた
今後もあり得るミスだと思うのでカッコの意味合い（｛後顔は認識する必要あると改めて認識｝"
2024年7月18日,子育て減税,"子供一人当たり年五十万減税する
今の税金徴収の仕方と、扶養家族記載の仕方だったらできるのでないかと、、
年齢18までで四萬税金減るイコール収入増えるなら、人口バグゾウするのでないかな、、、子育て支援金で一時的に配るよりも人口増加に有効
今すでにやってるなら見直して、子育てのメリット再度提示するのがいいと思う"
2024年7月18日,タイプスクリプトのエラー,"ひとまず、生成ＡＩに聞くのは有効だ
実際にはネットで調べた、大体か公開されてる場所使ったときに出る問題
ネット上は同じ問題に直面解決した人が多いハズ、そのソース見つければ解決できる"
2024年7月18日,ライブ,"近場の屋外ライブ行くべきかどうか悩んでる
いかないほうがいい理由。コスト4千円、タイミング電話の可能性、知らないバント
言ったほうがいい理由。知らない世界、2時間程度で四千円なら妥当、知らないのは事実だが世界すら塩がないので見てみるのは有効？
しばらく悩むしかない。入ってからどっか、軽く飯食いに行く、知り合い誘うとかはいいかなと、、、"
2024年7月17日,唐突なタスク,"準備まで来ていなかったけど見つけてもうたら仕方ないということで対応
難易度初級、前提が違う、怪しそうなクエリも複数提示したとこで終了
環境だいぶとできてきた印象
ただしまだやれることはある。プランの取得が優先度高いかな。古いサーバーでもいけるように"
